"Day","Month","Year","RentedBikeCount","Temperature","Humidity","WindSpeed","Visibility","DewPointTemp","SolarRadiation","Rainfall","Snowfall","Seasons","Holiday","Functioning.Day","Time"
14,8,2018,1708,29.3,63,0.9,1810,21.5,0.76,0,0,"Summer","No Holiday","Yes","Morning"
15,8,2018,553,29.9,60,0.8,1772,21.2,0.83,0,0,"Summer","Holiday","Yes","Morning"
16,8,2018,1660,28.2,68,1.3,2000,21.7,0.41,0,0,"Summer","No Holiday","Yes","Morning"
17,8,2018,1918,23.5,44,1.7,1944,10.5,0.98,0,0,"Summer","No Holiday","Yes","Morning"
18,8,2018,754,23.2,47,1,2000,11.2,0.93,0,0,"Summer","No Holiday","Yes","Morning"
19,8,2018,592,24.4,58,0.8,2000,15.5,0.45,0,0,"Summer","No Holiday","Yes","Morning"
20,8,2018,1912,26.6,54,1.1,1739,16.5,0.75,0,0,"Summer","No Holiday","Yes","Morning"
21,8,2018,1530,24,84,3.5,1975,21.1,0.47,0,0,"Summer","No Holiday","Yes","Morning"
22,8,2018,1990,25.7,66,0.9,1976,18.8,0.64,0,0,"Summer","No Holiday","Yes","Morning"
23,8,2018,1678,28.1,58,1.3,2000,19,0.14,0,0,"Summer","No Holiday","Yes","Morning"
24,8,2018,578,24.4,86,1.7,2000,21.8,0.13,0,0,"Summer","No Holiday","Yes","Morning"
25,8,2018,721,24.1,78,2,1133,20,0.34,0,0,"Summer","No Holiday","Yes","Morning"
26,8,2018,566,22.1,74,1,1479,17.2,0.77,0,0,"Summer","No Holiday","Yes","Morning"
27,8,2018,328,21.3,97,1.3,1029,20.7,0.17,0.5,0,"Summer","No Holiday","Yes","Morning"
28,8,2018,1841,23.4,83,0.8,1998,20.3,0.32,0,0,"Summer","No Holiday","Yes","Morning"
29,8,2018,1595,25.3,83,3.4,1982,22.1,0.14,0,0,"Summer","No Holiday","Yes","Morning"
30,8,2018,1330,24.6,96,1,883,23.9,0.19,0,0,"Summer","No Holiday","Yes","Morning"
31,8,2018,1686,23.1,80,0.2,1066,19.4,0.27,0.1,0,"Summer","No Holiday","Yes","Morning"
1,9,2018,812,22.3,64,1.7,2000,15.1,0.75,0,0,"Autumn","No Holiday","Yes","Morning"
2,9,2018,576,21.3,57,1.3,2000,12.4,0.81,0,0,"Autumn","No Holiday","Yes","Morning"
3,9,2018,1580,24.2,70,1.4,2000,18.3,0.16,0,0,"Autumn","No Holiday","Yes","Morning"
4,9,2018,2059,20.5,90,1.9,490,18.7,0.53,0,0,"Autumn","No Holiday","Yes","Morning"
5,9,2018,2312,21.2,69,1.9,2000,15.2,0.74,0,0,"Autumn","No Holiday","Yes","Morning"
6,9,2018,2270,21.8,77,0.9,1419,17.5,0.43,0,0,"Autumn","No Holiday","Yes","Morning"
7,9,2018,2260,20.5,78,2.5,1250,16.5,0.32,0,0,"Autumn","No Holiday","Yes","Morning"
8,9,2018,827,17.1,57,1,1979,8.5,0.76,0,0,"Autumn","No Holiday","Yes","Morning"
9,9,2018,644,17.4,56,0.8,2000,8.5,0.49,0,0,"Autumn","No Holiday","Yes","Morning"
10,9,2018,2278,20.1,57,1.6,2000,11.3,0.73,0,0,"Autumn","No Holiday","Yes","Morning"
11,9,2018,2369,17.8,53,1.4,2000,8,0.51,0,0,"Autumn","No Holiday","Yes","Morning"
12,9,2018,2391,18.2,56,1.5,1994,9.2,0.62,0,0,"Autumn","No Holiday","Yes","Morning"
13,9,2018,2329,20.9,68,1.3,2000,14.7,0.18,0,0,"Autumn","No Holiday","Yes","Morning"
14,9,2018,2253,21.4,70,1.5,1986,15.6,0.38,0,0,"Autumn","No Holiday","Yes","Morning"
15,9,2018,829,21.7,78,0.3,2000,17.6,0.21,0,0,"Autumn","No Holiday","Yes","Morning"
16,9,2018,464,21.9,88,1.6,601,19.8,0.17,0,0,"Autumn","No Holiday","Yes","Morning"
17,9,2018,2276,18.9,77,0.6,1109,14.7,0.56,0,0,"Autumn","No Holiday","Yes","Morning"
18,9,2018,0,18.7,73,0.9,1501,13.7,0.34,0,0,"Autumn","No Holiday","No","Morning"
19,9,2018,0,19.8,71,1.1,1534,14.3,0.26,0,0,"Autumn","No Holiday","No","Morning"
20,9,2018,299,18,91,1.3,896,16.5,0.11,0.5,0,"Autumn","No Holiday","Yes","Morning"
21,9,2018,127,17.8,97,2,1284,17.3,0.09,4,0,"Autumn","No Holiday","Yes","Morning"
22,9,2018,654,18.2,86,0,858,15.8,0.48,0,0,"Autumn","No Holiday","Yes","Morning"
23,9,2018,439,17,69,1.2,2000,11.2,0.3,0,0,"Autumn","Holiday","Yes","Morning"
24,9,2018,296,15.4,52,2.2,1985,5.5,0.49,0,0,"Autumn","Holiday","Yes","Morning"
25,9,2018,440,12,61,1.3,1988,4.6,0.6,0,0,"Autumn","Holiday","Yes","Morning"
26,9,2018,598,16.7,60,2,2000,8.8,0.2,0,0,"Autumn","No Holiday","Yes","Morning"
27,9,2018,2129,14.8,51,1.1,2000,4.7,0.59,0,0,"Autumn","No Holiday","Yes","Morning"
28,9,2018,0,15.2,58,1.7,2000,6.9,0.29,0,0,"Autumn","No Holiday","No","Morning"
29,9,2018,848,15.7,65,1.2,2000,9.1,0.54,0,0,"Autumn","No Holiday","Yes","Morning"
30,9,2018,0,16.2,69,1.1,2000,10.4,0.54,0,0,"Autumn","No Holiday","No","Morning"
1,10,2018,2101,13.7,54,2.4,1960,4.5,0.39,0,0,"Autumn","No Holiday","Yes","Morning"
2,10,2018,0,11.2,69,0.9,1714,5.7,0.49,0,0,"Autumn","No Holiday","No","Morning"
3,10,2018,762,11.8,73,1,1649,7.1,0.49,0,0,"Autumn","Holiday","Yes","Morning"
4,10,2018,0,13.9,68,0.9,1912,8,0.34,0,0,"Autumn","No Holiday","No","Morning"
5,10,2018,208,16.9,72,1.3,2000,11.8,0.04,0.3,0,"Autumn","No Holiday","Yes","Morning"
6,10,2018,6,16.6,97,2,457,16.1,0.01,9,0,"Autumn","No Holiday","Yes","Morning"
7,10,2018,589,14.6,71,1,1896,9.3,0.43,0,0,"Autumn","No Holiday","Yes","Morning"
8,10,2018,2005,9.9,66,1.2,2000,3.8,0.35,0,0,"Autumn","No Holiday","Yes","Morning"
9,10,2018,0,11.4,66,0.8,1991,5.2,0.18,0,0,"Autumn","Holiday","No","Morning"
10,10,2018,2082,11.8,80,3.7,1518,8.4,0.16,0,0,"Autumn","No Holiday","Yes","Morning"
11,10,2018,2000,7,56,3.1,1971,-1.1,0.44,0,0,"Autumn","No Holiday","Yes","Morning"
12,10,2018,1996,6,64,1.1,1920,-0.3,0.42,0,0,"Autumn","No Holiday","Yes","Morning"
13,10,2018,728,7.4,70,0.5,1373,2.2,0.36,0,0,"Autumn","No Holiday","Yes","Morning"
14,10,2018,556,7.5,72,1.1,697,2.7,0.34,0,0,"Autumn","No Holiday","Yes","Morning"
15,10,2018,2070,12,77,0.4,891,8,0.12,0,0,"Autumn","No Holiday","Yes","Morning"
16,10,2018,2134,10.4,63,0.6,1367,3.6,0.19,0,0,"Autumn","No Holiday","Yes","Morning"
17,10,2018,2202,9.2,68,0.2,952,3.5,0.28,0,0,"Autumn","No Holiday","Yes","Morning"
18,10,2018,2154,8.5,77,0.5,1995,4.6,0.21,0,0,"Autumn","No Holiday","Yes","Morning"
19,10,2018,2113,7.9,63,0.6,2000,1.2,0.3,0,0,"Autumn","No Holiday","Yes","Morning"
20,10,2018,784,7.8,70,1.4,1034,2.6,0.29,0,0,"Autumn","No Holiday","Yes","Morning"
21,10,2018,534,7.9,67,1.1,1210,2.1,0.28,0,0,"Autumn","No Holiday","Yes","Morning"
22,10,2018,2111,9.7,58,0.6,1559,1.8,0.22,0,0,"Autumn","No Holiday","Yes","Morning"
23,10,2018,1423,11,78,0.8,412,7.3,0.03,0,0,"Autumn","No Holiday","Yes","Morning"
24,10,2018,2108,8.1,85,1.2,772,5.7,0.26,0,0,"Autumn","No Holiday","Yes","Morning"
25,10,2018,2070,7.9,76,1.2,1290,3.9,0.25,0,0,"Autumn","No Holiday","Yes","Morning"
26,10,2018,556,12.1,81,0.8,706,8.9,0,0.5,0,"Autumn","No Holiday","Yes","Morning"
27,10,2018,713,7.7,62,2.4,1985,0.8,0.23,0,0,"Autumn","No Holiday","Yes","Morning"
28,10,2018,74,6.8,89,1.4,1856,5.1,0.05,0,0,"Autumn","No Holiday","Yes","Morning"
29,10,2018,1888,5.1,67,0.3,1981,-0.5,0.24,0,0,"Autumn","No Holiday","Yes","Morning"
30,10,2018,1883,1.4,58,0.9,1883,-5.9,0.15,0,0,"Autumn","No Holiday","Yes","Morning"
31,10,2018,1907,3.7,67,1.8,1987,-1.8,0.15,0,0,"Autumn","No Holiday","Yes","Morning"
1,11,2018,1899,2.8,74,0.9,1366,-1.3,0.13,0,0,"Autumn","No Holiday","Yes","Morning"
2,11,2018,1906,4.7,72,1,1306,0,0.12,0,0,"Autumn","No Holiday","Yes","Morning"
3,11,2018,0,5.4,75,0.4,905,1.3,0.11,0,0,"Autumn","No Holiday","No","Morning"
4,11,2018,481,5.7,78,1.1,714,2.1,0.09,0,0,"Autumn","No Holiday","Yes","Morning"
5,11,2018,1975,7.2,80,0.8,515,3.9,0.13,0,0,"Autumn","No Holiday","Yes","Morning"
6,11,2018,0,8.7,77,0.7,529,4.8,0.11,0,0,"Autumn","No Holiday","No","Morning"
7,11,2018,1171,11.3,89,1.1,279,9.5,0.01,0,0,"Autumn","No Holiday","Yes","Morning"
8,11,2018,148,10.6,89,1.5,689,8.8,0.02,0,0,"Autumn","No Holiday","Yes","Morning"
9,11,2018,0,10.1,85,2.4,1809,7.6,0.05,0,0,"Autumn","No Holiday","No","Morning"
10,11,2018,589,9.3,85,0.3,313,6.9,0.07,0,0,"Autumn","No Holiday","Yes","Morning"
11,11,2018,395,6.3,81,0.8,365,3.2,0.11,0,0,"Autumn","No Holiday","Yes","Morning"
12,11,2018,1699,3.3,69,0,2000,-1.8,0.06,0,0,"Autumn","No Holiday","Yes","Morning"
13,11,2018,1910,4.7,68,0.5,1032,-0.7,0.06,0,0,"Autumn","No Holiday","Yes","Morning"
14,11,2018,1916,5,77,1.5,1115,1.2,0.07,0,0,"Autumn","No Holiday","Yes","Morning"
15,11,2018,1686,5.3,75,1,808,1.2,0.1,0,0,"Autumn","No Holiday","Yes","Morning"
16,11,2018,1692,7,64,0.8,683,0.6,0.03,0,0,"Autumn","No Holiday","Yes","Morning"
17,11,2018,530,0.7,72,1,1397,-3.7,0.05,0,0,"Autumn","No Holiday","Yes","Morning"
18,11,2018,371,2.6,53,0.7,1548,-6,0.03,0,0,"Autumn","No Holiday","Yes","Morning"
19,11,2018,1751,3.5,71,0.8,958,-1.2,0.06,0,0,"Autumn","No Holiday","Yes","Morning"
20,11,2018,1818,0.3,53,0.9,1971,-8.1,0.05,0,0,"Autumn","No Holiday","Yes","Morning"
21,11,2018,1622,6.4,86,0.9,450,4.2,0.03,0,0,"Autumn","No Holiday","Yes","Morning"
22,11,2018,1671,-1.2,33,0.5,2000,-15.4,0.04,0,0,"Autumn","No Holiday","Yes","Morning"
23,11,2018,1516,-3,43,1.1,2000,-13.8,0.03,0,0,"Autumn","No Holiday","Yes","Morning"
24,11,2018,33,0.4,96,3.1,33,-0.1,0,0,4,"Autumn","No Holiday","Yes","Morning"
25,11,2018,250,1.4,96,1,212,0.8,0.04,0,2.5,"Autumn","No Holiday","Yes","Morning"
26,11,2018,1524,2,84,1.1,396,-0.4,0.03,0,0.3,"Autumn","No Holiday","Yes","Morning"
27,11,2018,1577,4.2,78,1.2,362,0.6,0.02,0,0,"Autumn","No Holiday","Yes","Morning"
28,11,2018,1540,2.1,29,1.1,1337,-14.1,0.02,0,0,"Autumn","No Holiday","Yes","Morning"
29,11,2018,1635,0.8,44,1.7,1439,-10,0.02,0,0,"Autumn","No Holiday","Yes","Morning"
30,11,2018,1527,-1.5,68,1.1,1286,-6.6,0.02,0,0,"Autumn","No Holiday","Yes","Morning"
1,12,2017,555,0.8,58,1.6,2000,-6.5,0.08,0,0,"Winter","No Holiday","Yes","Evening"
2,12,2017,572,6,51,2.5,1891,-3.3,0.06,0,0,"Winter","No Holiday","Yes","Evening"
3,12,2017,545,6.7,82,1.5,358,3.8,0.05,0,0,"Winter","No Holiday","Yes","Evening"
4,12,2017,515,-1.3,26,5.3,2000,-18.3,0.18,0,0,"Winter","No Holiday","Yes","Evening"
5,12,2017,529,-1.6,35,0,2000,-15.1,0,0,0,"Winter","No Holiday","Yes","Evening"
6,12,2017,239,4.1,60,2.5,1565,-2.9,0.1,0,0,"Winter","No Holiday","Yes","Evening"
7,12,2017,552,2.1,50,2,1434,-7.2,0.15,0,0,"Winter","No Holiday","Yes","Evening"
8,12,2017,500,-2.4,30,2.7,2000,-17.6,0.18,0,0,"Winter","No Holiday","Yes","Evening"
9,12,2017,481,3.5,37,1.8,1963,-9.8,0.1,0,0,"Winter","No Holiday","Yes","Evening"
10,12,2017,226,3.6,65,4.3,1061,-2.3,0.03,0,0.4,"Winter","No Holiday","Yes","Evening"
11,12,2017,361,-7.1,44,4.2,2000,-17.3,0.18,0,0,"Winter","No Holiday","Yes","Evening"
12,12,2017,305,-7,32,2.6,2000,-20.9,0.19,0,0,"Winter","No Holiday","Yes","Evening"
13,12,2017,392,-5.6,29,1.7,2000,-20.8,0.18,0,0,"Winter","No Holiday","Yes","Evening"
14,12,2017,382,-2.9,31,0.6,1723,-17.7,0.09,0,0,"Winter","No Holiday","Yes","Evening"
15,12,2017,464,-0.2,39,0.8,1016,-12.5,0,0,0,"Winter","No Holiday","Yes","Evening"
16,12,2017,277,-4.6,26,2.6,2000,-21.2,0.17,0,0,"Winter","No Holiday","Yes","Evening"
17,12,2017,266,-3.8,35,2.4,2000,-17,0.17,0,0,"Winter","No Holiday","Yes","Evening"
18,12,2017,175,0.4,84,0.8,317,-1.9,0.15,0,2.7,"Winter","No Holiday","Yes","Evening"
19,12,2017,256,-2.7,35,1.8,2000,-16,0.18,0,2,"Winter","No Holiday","Yes","Evening"
20,12,2017,237,-0.9,70,1.1,299,-5.6,0.02,0,2.2,"Winter","No Holiday","Yes","Evening"
21,12,2017,366,2.9,60,1.3,1193,-4.1,0.16,0,0.8,"Winter","No Holiday","Yes","Evening"
22,12,2017,477,5.4,61,1.3,691,-1.5,0.08,0,0,"Winter","Holiday","Yes","Evening"
23,12,2017,453,7.7,67,0.9,264,1.9,0.11,0,0,"Winter","No Holiday","Yes","Evening"
24,12,2017,104,2.2,86,2.6,605,0,0.04,0,0,"Winter","Holiday","Yes","Evening"
25,12,2017,260,-0.7,29,2,2000,-16.5,0.21,0,0,"Winter","Holiday","Yes","Evening"
26,12,2017,350,-3.6,20,3.7,2000,-23.3,0.23,0,0,"Winter","No Holiday","Yes","Evening"
27,12,2017,314,-4.2,26,2.2,2000,-20.8,0.2,0,0,"Winter","No Holiday","Yes","Evening"
28,12,2017,407,0.2,58,2,1159,-7.1,0.08,0,0,"Winter","No Holiday","Yes","Evening"
29,12,2017,534,4.5,59,1.6,384,-2.8,0.14,0,0,"Winter","No Holiday","Yes","Evening"
30,12,2017,183,3.8,64,0.9,250,-2.3,0.01,0,0,"Winter","No Holiday","Yes","Evening"
31,12,2017,240,1.7,30,2.9,2000,-14,0.22,0,0,"Winter","Holiday","Yes","Evening"
1,1,2018,271,1.8,33,3.3,1913,-12.8,0.18,0,0,"Winter","Holiday","Yes","Evening"
2,1,2018,373,0.3,27,2.6,2000,-16.5,0.18,0,0,"Winter","No Holiday","Yes","Evening"
3,1,2018,382,-1.9,35,1.8,2000,-15.3,0.25,0,0,"Winter","No Holiday","Yes","Evening"
4,1,2018,397,-2.1,37,1.4,1591,-14.8,0.09,0,0,"Winter","No Holiday","Yes","Evening"
5,1,2018,446,-0.6,45,3.3,1827,-11,0.24,0,0,"Winter","No Holiday","Yes","Evening"
6,1,2018,354,1.1,31,1.7,1989,-14.1,0.26,0,0,"Winter","No Holiday","Yes","Evening"
7,1,2018,349,2.3,33,0.2,1515,-12.3,0.13,0,0,"Winter","No Holiday","Yes","Evening"
8,1,2018,385,2.7,50,2.8,1957,-6.7,0.06,0,0,"Winter","No Holiday","Yes","Evening"
9,1,2018,332,-2.9,66,3.6,743,-8.3,0.23,0,0,"Winter","No Holiday","Yes","Evening"
10,1,2018,266,-6.5,34,4,2000,-19.8,0.31,0,0,"Winter","No Holiday","Yes","Evening"
11,1,2018,219,-9.3,43,2.8,1900,-19.6,0.28,0,0,"Winter","No Holiday","Yes","Evening"
12,1,2018,259,-6.5,22,1.5,2000,-24.7,0.28,0,0,"Winter","No Holiday","Yes","Evening"
13,1,2018,277,-1.4,68,1,761,-6.5,0.11,0,0,"Winter","No Holiday","Yes","Evening"
14,1,2018,302,4.5,51,1.1,1244,-4.7,0.17,0,0,"Winter","No Holiday","Yes","Evening"
15,1,2018,455,6.5,40,0.8,804,-6.1,0.23,0,0,"Winter","No Holiday","Yes","Evening"
16,1,2018,381,5.2,58,0.8,462,-2.4,0.08,0,0,"Winter","No Holiday","Yes","Evening"
17,1,2018,380,7.2,57,3.3,342,-0.7,0.19,0,0,"Winter","No Holiday","Yes","Evening"
18,1,2018,416,2.8,46,2.1,858,-7.6,0.14,0,0,"Winter","No Holiday","Yes","Evening"
19,1,2018,468,4.1,34,3.1,1810,-10.3,0.28,0,0,"Winter","No Holiday","Yes","Evening"
20,1,2018,377,5.7,53,1.8,276,-3.1,0.22,0,0,"Winter","No Holiday","Yes","Evening"
21,1,2018,383,3.8,20,1.3,2000,-17.1,0.24,0,0,"Winter","No Holiday","Yes","Evening"
22,1,2018,43,1.3,93,1.2,81,0.2,0.03,0,0.2,"Winter","No Holiday","Yes","Evening"
23,1,2018,239,-10.6,38,3.5,2000,-22.2,0.38,0,0.9,"Winter","No Holiday","Yes","Evening"
24,1,2018,203,-11.8,26,3.5,2000,-27.4,0.39,0,0.7,"Winter","No Holiday","Yes","Evening"
25,1,2018,170,-10.9,32,4,2000,-24.4,0.28,0,0.5,"Winter","No Holiday","Yes","Evening"
26,1,2018,196,-11.5,31,3.3,1745,-25.2,0.41,0,0.3,"Winter","No Holiday","Yes","Evening"
27,1,2018,207,-4.6,26,1.9,2000,-21.2,0.39,0,0,"Winter","No Holiday","Yes","Evening"
28,1,2018,178,-3.8,32,5.2,2000,-18.1,0.25,0,0,"Winter","No Holiday","Yes","Evening"
29,1,2018,239,-5.7,30,3.6,1978,-20.5,0.4,0,0,"Winter","No Holiday","Yes","Evening"
30,1,2018,53,-2.4,85,0.3,174,-4.5,0.06,0,0.6,"Winter","No Holiday","Yes","Evening"
31,1,2018,279,-0.9,34,2.8,2000,-14.8,0.28,0,1.8,"Winter","No Holiday","Yes","Evening"
1,2,2018,341,0.3,26,2.4,1977,-17,0.45,0,0,"Winter","No Holiday","Yes","Evening"
2,2,2018,382,2,25,2.3,1998,-16,0.34,0,0,"Winter","No Holiday","Yes","Evening"
3,2,2018,211,-5.6,32,4.6,2000,-19.7,0.53,0,0,"Winter","No Holiday","Yes","Evening"
4,2,2018,184,-5.9,27,3.6,1974,-21.9,0.81,0,0,"Winter","No Holiday","Yes","Evening"
5,2,2018,225,-6.4,28,4.5,2000,-21.9,0.81,0,0,"Winter","No Holiday","Yes","Evening"
6,2,2018,227,-6.6,29,2.5,2000,-21.7,0.68,0,0,"Winter","No Holiday","Yes","Evening"
7,2,2018,320,-2.3,20,2.2,1994,-22.2,0.77,0,0,"Winter","No Holiday","Yes","Evening"
8,2,2018,337,1.5,24,1.9,1788,-16.9,0.72,0,0,"Winter","No Holiday","Yes","Evening"
9,2,2018,422,4.8,38,3,1582,-8.3,0.47,0,0,"Winter","No Holiday","Yes","Evening"
10,2,2018,277,-0.9,19,5,2000,-21.6,0.48,0,0,"Winter","No Holiday","Yes","Evening"
11,2,2018,198,-4.2,47,2.7,2000,-13.8,0.31,0,0,"Winter","No Holiday","Yes","Evening"
12,2,2018,288,-3.1,36,4.4,1988,-16,0.89,0,0,"Winter","No Holiday","Yes","Evening"
13,2,2018,410,3.5,46,3.1,1992,-7,0.39,0,0,"Winter","No Holiday","Yes","Evening"
14,2,2018,484,6.6,34,2.8,1300,-8.1,0.42,0,0,"Winter","No Holiday","Yes","Evening"
15,2,2018,236,2.4,17,3.1,1990,-20.2,0.78,0,0,"Winter","Holiday","Yes","Evening"
16,2,2018,210,2.5,48,4.2,1979,-7.4,0.76,0,0,"Winter","Holiday","Yes","Evening"
17,2,2018,250,0.6,17,3.3,2000,-21.7,0.79,0,0,"Winter","Holiday","Yes","Evening"
18,2,2018,354,4.2,17,2.5,1990,-18.7,0.66,0,0,"Winter","No Holiday","Yes","Evening"
19,2,2018,522,5.7,36,3,1073,-8.2,0.57,0,0,"Winter","No Holiday","Yes","Evening"
20,2,2018,514,3.9,19,3.6,2000,-17.6,0.58,0,0,"Winter","No Holiday","Yes","Evening"
21,2,2018,469,3.1,14,3.7,2000,-21.9,1,0,0,"Winter","No Holiday","Yes","Evening"
22,2,2018,465,4.6,52,3.9,1059,-4.4,0.5,0,0,"Winter","No Holiday","Yes","Evening"
23,2,2018,470,7.9,68,4.2,352,2.3,0.27,0,0,"Winter","No Holiday","Yes","Evening"
24,2,2018,462,4.9,28,3.1,1477,-12.1,0.77,0,0,"Winter","No Holiday","Yes","Evening"
25,2,2018,589,6.9,25,2.9,1795,-11.8,1.07,0,0,"Winter","No Holiday","Yes","Evening"
26,2,2018,646,8.7,30,3.1,1117,-7.9,0.96,0,0,"Winter","No Holiday","Yes","Evening"
27,2,2018,529,6.8,57,1,623,-1.1,0.16,0,0,"Winter","No Holiday","Yes","Evening"
28,2,2018,8,3.8,90,2.7,654,2.3,0,0,0,"Winter","No Holiday","Yes","Evening"
1,3,2018,423,0.4,37,5.2,1366,-12.6,1.23,0,0,"Spring","Holiday","Yes","Evening"
2,3,2018,631,4.3,21,2.5,1961,-16.1,1.13,0,0,"Spring","No Holiday","Yes","Evening"
3,3,2018,1197,15,22,2.5,1946,-6.5,0.96,0,0,"Spring","No Holiday","Yes","Evening"
4,3,2018,492,11.8,82,1.7,990,8.8,0.4,0,0,"Spring","No Holiday","Yes","Evening"
5,3,2018,865,10,43,1.4,2000,-2,1.12,0,0,"Spring","No Holiday","Yes","Evening"
6,3,2018,883,10.2,27,2.8,1826,-8,1.22,0,0,"Spring","No Holiday","Yes","Evening"
7,3,2018,849,10.4,37,1,2000,-3.6,0.67,0,0,"Spring","No Holiday","Yes","Evening"
8,3,2018,757,7.5,64,4.3,538,1.1,0.88,0,0,"Spring","No Holiday","Yes","Evening"
9,3,2018,834,8.9,46,1.8,789,-2.1,1,0,0,"Spring","No Holiday","Yes","Evening"
10,3,2018,829,7.7,46,2.8,1635,-3.2,1.05,0,0,"Spring","No Holiday","Yes","Evening"
11,3,2018,1028,11.1,25,2,1765,-8.2,1.19,0,0,"Spring","No Holiday","Yes","Evening"
12,3,2018,931,13.7,38,2.6,436,-0.3,1,0,0,"Spring","No Holiday","Yes","Evening"
13,3,2018,1085,16.9,62,3.1,1562,9.5,0.95,0,0,"Spring","No Holiday","Yes","Evening"
14,3,2018,1325,20.5,49,3.5,2000,9.4,1.18,0,0,"Spring","No Holiday","Yes","Evening"
15,3,2018,411,10.9,98,1.3,222,10.5,0.09,0,0,"Spring","No Holiday","Yes","Evening"
16,3,2018,1160,11.2,30,1.5,2000,-5.7,1.44,0,0,"Spring","No Holiday","Yes","Evening"
17,3,2018,1272,12.1,34,2.5,1240,-3.3,0.81,0,0,"Spring","No Holiday","Yes","Evening"
18,3,2018,603,11.1,42,2.2,765,-1.3,0.34,0,0,"Spring","No Holiday","Yes","Evening"
19,3,2018,605,8.5,59,2.7,1927,0.9,0.16,0,0,"Spring","No Holiday","Yes","Evening"
20,3,2018,719,4.9,43,4.3,2000,-6.6,0.42,0,0,"Spring","No Holiday","Yes","Evening"
21,3,2018,319,2.5,78,2,2000,-0.9,0.25,0,0,"Spring","No Holiday","Yes","Evening"
22,3,2018,999,9.6,38,3.2,1606,-4,1.35,0,0,"Spring","No Holiday","Yes","Evening"
23,3,2018,1108,11.2,27,3.5,1585,-7.1,1.19,0,0,"Spring","No Holiday","Yes","Evening"
24,3,2018,916,11.1,66,4.2,367,4.9,1.18,0,0,"Spring","No Holiday","Yes","Evening"
25,3,2018,911,15.8,40,2.3,481,2.2,1.28,0,0,"Spring","No Holiday","Yes","Evening"
26,3,2018,925,17.1,31,3.3,1075,-0.1,1.33,0,0,"Spring","No Holiday","Yes","Evening"
27,3,2018,960,18.4,54,3.2,605,8.9,1.05,0,0,"Spring","No Holiday","Yes","Evening"
28,3,2018,1221,17.6,45,4.2,1947,5.5,0.7,0,0,"Spring","No Holiday","Yes","Evening"
29,3,2018,1194,20.3,48,2.8,635,8.9,1.14,0,0,"Spring","No Holiday","Yes","Evening"
30,3,2018,1460,19.4,45,2.9,778,7.1,1.13,0,0,"Spring","No Holiday","Yes","Evening"
31,3,2018,1531,17.3,36,3.4,1722,2,0.8,0,0,"Spring","No Holiday","Yes","Evening"
1,4,2018,1362,18,72,1.8,559,12.8,0.47,0,0,"Spring","No Holiday","Yes","Evening"
2,4,2018,1569,22,49,3.7,1582,10.7,1.28,0,0,"Spring","No Holiday","Yes","Evening"
3,4,2018,1436,19.7,57,2.6,1302,10.9,0.54,0,0,"Spring","No Holiday","Yes","Evening"
4,4,2018,1745,17.2,46,2.2,2000,5.4,1.6,0,0,"Spring","No Holiday","Yes","Evening"
5,4,2018,46,8,96,1.4,298,7.3,0.13,1,0,"Spring","No Holiday","Yes","Evening"
6,4,2018,776,6.3,50,4.4,707,-3.3,0.64,0,0,"Spring","No Holiday","Yes","Evening"
7,4,2018,908,7.6,36,5.3,2000,-6.5,1.8,0,0,"Spring","No Holiday","Yes","Evening"
8,4,2018,58,4.3,80,2.6,1357,1.1,0.23,0.1,0,"Spring","No Holiday","Yes","Evening"
9,4,2018,1479,15.3,26,0.9,1257,-4.1,1.39,0,0,"Spring","No Holiday","Yes","Evening"
10,4,2018,1004,20.6,39,5.6,2000,6.1,0.74,0,0,"Spring","No Holiday","Yes","Evening"
11,4,2018,0,16.2,22,4.1,2000,-5.5,1.73,0,0,"Spring","No Holiday","No","Evening"
12,4,2018,1664,18.6,22,3.7,1978,-3.5,1.72,0,0,"Spring","No Holiday","Yes","Evening"
13,4,2018,1662,18.1,16,1.4,2000,-8.1,0.45,0,0,"Spring","No Holiday","Yes","Evening"
14,4,2018,675,9.3,81,2.4,2000,6.1,0.52,0,0,"Spring","No Holiday","Yes","Evening"
15,4,2018,42,11.8,60,2.9,1457,4.2,0.6,0,0,"Spring","No Holiday","Yes","Evening"
16,4,2018,1753,18.7,21,2.5,1871,-4.1,1.65,0,0,"Spring","No Holiday","Yes","Evening"
17,4,2018,1632,18.3,29,4.3,1626,0,1.61,0,0,"Spring","No Holiday","Yes","Evening"
18,4,2018,1738,17.8,26,3.3,1439,-1.9,1.63,0,0,"Spring","No Holiday","Yes","Evening"
19,4,2018,1534,20.1,27,1.9,1088,0.4,1.38,0,0,"Spring","No Holiday","Yes","Evening"
20,4,2018,1543,25.6,30,2.3,671,6.7,1.47,0,0,"Spring","No Holiday","Yes","Evening"
21,4,2018,2032,23.2,12,3.6,2000,-7.8,1.69,0,0,"Spring","No Holiday","Yes","Evening"
22,4,2018,46,17.9,65,1.2,965,11.2,0.13,1,0,"Spring","No Holiday","Yes","Evening"
23,4,2018,42,9.4,95,1.9,660,8.6,0.11,0.5,0,"Spring","No Holiday","Yes","Evening"
24,4,2018,1462,15.1,52,1.9,2000,5.3,0.64,0,0,"Spring","No Holiday","Yes","Evening"
25,4,2018,1878,22.9,23,2.8,1985,0.6,1.64,0,0,"Spring","No Holiday","Yes","Evening"
