"Day","Month","Year","RentedBikeCount","Temperature","Humidity","WindSpeed","Visibility","DewPointTemp","SolarRadiation","Rainfall","Snowfall","Seasons","Holiday","BikeCountPlus1","BikeCountPlus2"
4,9,2018,1429,27.1,47,4.3,2000,14.8,1.82,0,0,"Autumn","No Holiday",1993,3166
5,9,2018,1446,28.2,37,4,1987,12.1,2.03,0,0,"Autumn","No Holiday",2068,3160
6,9,2018,1292,26.9,55,3.9,1909,17,0.54,0,0,"Autumn","No Holiday",1525,2497
7,9,2018,1577,25.2,39,2.8,1987,10.2,1.65,0,0,"Autumn","No Holiday",2183,3154
8,9,2018,1943,27.7,32,1.4,2000,9.4,2.05,0,0,"Autumn","No Holiday",2167,2255
9,9,2018,2099,27.1,35,0.9,2000,10.3,1.27,0,0,"Autumn","No Holiday",2201,2368
10,9,2018,1467,27.5,39,1.5,2000,12.3,1.46,0,0,"Autumn","No Holiday",2147,3298
11,9,2018,1527,25.5,44,1.4,2000,12.3,1,0,0,"Autumn","No Holiday",2171,3222
12,9,2018,1494,27.8,42,1.7,1974,13.7,1.98,0,0,"Autumn","No Holiday",2129,3256
13,9,2018,1436,28.2,48,1.4,1995,16.1,1.7,0,0,"Autumn","No Holiday",2021,3146
14,9,2018,1503,26.3,57,1.6,2000,17,0.72,0,0,"Autumn","No Holiday",2059,2826
15,9,2018,1273,24.4,74,0.6,1996,19.4,0.13,0,0,"Autumn","No Holiday",1474,1566
16,9,2018,142,22.5,86,2.5,342,20,0.47,0,0,"Autumn","No Holiday",322,520
17,9,2018,1445,27.6,37,2.8,1935,11.5,1.9,0,0,"Autumn","No Holiday",2056,3277
20,9,2018,912,19.5,75,2.1,2000,14.9,0.38,0,0,"Autumn","No Holiday",1290,1786
21,9,2018,1550,21.5,78,1.2,2000,17.4,0.51,0,0,"Autumn","No Holiday",1904,2235
22,9,2018,1840,25.3,38,3,2000,9.9,1.88,0,0,"Autumn","No Holiday",2045,1939
23,9,2018,1502,24.6,29,4,1988,5.3,1.73,0,0,"Autumn","Holiday",1591,1492
24,9,2018,1433,22,31,2.7,2000,4,1.87,0,0,"Autumn","Holiday",1442,1237
25,9,2018,1955,24.2,28,1.7,2000,4.5,1.86,0,0,"Autumn","Holiday",2033,1885
26,9,2018,2270,24.4,35,1.8,2000,7.9,1.71,0,0,"Autumn","No Holiday",2349,2339
27,9,2018,1636,23.6,31,1.1,2000,5.4,1.37,0,0,"Autumn","No Holiday",2189,3154
29,9,2018,2254,26.6,34,1.3,2000,9.4,1.69,0,0,"Autumn","No Holiday",2432,2397
1,10,2018,1357,17.7,47,3.4,2000,6.2,0.81,0,0,"Autumn","No Holiday",1799,2857
3,10,2018,2112,24,34,2.7,2000,7.1,1.62,0,0,"Autumn","Holiday",2400,2235
5,10,2018,28,17.1,97,1.7,382,16.6,0.15,6,0,"Autumn","No Holiday",66,74
6,10,2018,1601,21.5,62,3.4,2000,13.9,1.26,0,0,"Autumn","No Holiday",1870,2012
7,10,2018,2270,20.7,34,2,2000,4.2,1.23,0,0,"Autumn","No Holiday",2255,2069
8,10,2018,1603,20.3,25,1.8,2000,-0.3,1.15,0,0,"Autumn","No Holiday",2127,2787
10,10,2018,1363,13.8,43,3.7,2000,1.4,0.74,0,0,"Autumn","No Holiday",1775,2514
11,10,2018,1284,13.8,36,2.9,2000,-1,0.98,0,0,"Autumn","No Holiday",1685,2378
12,10,2018,1488,16.9,34,1.2,1942,0.9,1.47,0,0,"Autumn","No Holiday",1902,2618
13,10,2018,1916,19.4,29,1.2,1154,0.8,1.37,0,0,"Autumn","No Holiday",1995,1695
14,10,2018,2097,19.1,31,2.1,1960,1.5,1.27,0,0,"Autumn","No Holiday",1990,1662
15,10,2018,1413,20.3,44,2.2,793,7.6,1.09,0,0,"Autumn","No Holiday",1773,2635
16,10,2018,1407,19.5,32,2.1,1436,2.3,1.1,0,0,"Autumn","No Holiday",1811,2716
17,10,2018,1409,18,26,2.1,2000,-1.8,1.45,0,0,"Autumn","No Holiday",1896,2445
18,10,2018,1473,18.5,40,1.8,2000,4.6,1.28,0,0,"Autumn","No Holiday",1804,2499
19,10,2018,1527,19.3,29,2.8,2000,0.7,1.34,0,0,"Autumn","No Holiday",1939,2631
20,10,2018,1813,20.9,20,2,1976,-2.9,1.35,0,0,"Autumn","No Holiday",1949,1707
21,10,2018,1976,20.2,24,2.5,1881,-1,1.31,0,0,"Autumn","No Holiday",1883,1618
22,10,2018,1464,19.7,34,1.6,688,3.3,0.88,0,0,"Autumn","No Holiday",1904,2613
23,10,2018,1294,16.1,70,1.3,898,10.6,0.83,0,0,"Autumn","No Holiday",1604,2415
24,10,2018,1492,18.2,42,1.3,1976,5,1.22,0,0,"Autumn","No Holiday",1904,2612
25,10,2018,1528,20.4,32,0.9,1720,3.1,0.84,0,0,"Autumn","No Holiday",1961,2632
26,10,2018,900,14.5,81,1.8,1588,11.2,0.78,0,0,"Autumn","No Holiday",1386,1882
27,10,2018,1308,10.6,35,3.3,2000,-4.2,1.02,0,0,"Autumn","No Holiday",1176,1054
28,10,2018,385,12.2,65,1.9,2000,5.8,0.52,0,0,"Autumn","No Holiday",535,651
29,10,2018,1069,11.3,41,3.6,2000,-1.4,0.94,0,0,"Autumn","No Holiday",1274,1987
30,10,2018,1110,11,34,2.3,1999,-4.2,1.16,0,0,"Autumn","No Holiday",1357,2074
31,10,2018,1185,11.8,34,2.3,1979,-3.5,1.16,0,0,"Autumn","No Holiday",1462,2094
1,11,2018,1206,14.7,32,2,1934,-1.8,1.13,0,0,"Autumn","No Holiday",1569,2254
2,11,2018,1424,18.8,32,1.4,1717,1.7,1.09,0,0,"Autumn","No Holiday",1730,2314
4,11,2018,1690,18.4,25,3.2,1909,-2,1.05,0,0,"Autumn","No Holiday",1596,1335
5,11,2018,1318,16.8,46,1.8,1041,5,0.72,0,0,"Autumn","No Holiday",1664,2357
7,11,2018,834,15.2,72,1.2,625,10.1,0.4,0,0,"Autumn","No Holiday",1115,1347
8,11,2018,14,11.7,96,1.4,587,11,0.02,0,0,"Autumn","No Holiday",30,40
10,11,2018,1263,16,37,1.9,984,1.2,0.94,0,0,"Autumn","No Holiday",1379,1226
11,11,2018,616,9.9,59,1.3,578,2.2,0.1,0,0,"Autumn","No Holiday",660,752
12,11,2018,1193,12.9,38,2.6,1476,-1.1,0.94,0,0,"Autumn","No Holiday",1472,2022
13,11,2018,1188,14.2,37,2,1783,-0.3,0.91,0,0,"Autumn","No Holiday",1420,2159
14,11,2018,1137,15.2,40,2.7,1371,1.6,0.87,0,0,"Autumn","No Holiday",1532,2200
15,11,2018,1123,15.4,34,1.4,1016,-0.4,0.68,0,0,"Autumn","No Holiday",1416,2034
16,11,2018,1126,11.8,66,3,687,5.6,0.44,0,0,"Autumn","No Holiday",1346,1956
17,11,2018,974,8.3,35,2.1,1987,-6.2,0.37,0,0,"Autumn","No Holiday",1031,877
18,11,2018,1026,9.4,39,1.8,1704,-3.8,0.56,0,0,"Autumn","No Holiday",1039,902
19,11,2018,968,9.7,43,2.7,1012,-2.2,0.37,0,0,"Autumn","No Holiday",1233,1904
20,11,2018,967,11.3,21,2.8,1925,-10.2,0.82,0,0,"Autumn","No Holiday",1269,1857
21,11,2018,755,6.1,53,0.5,2000,-2.7,0.21,0,0,"Autumn","No Holiday",1101,1679
22,11,2018,759,5.9,34,2.9,1985,-8.7,0.55,0,0,"Autumn","No Holiday",1101,1591
23,11,2018,891,6.3,17,1.5,2000,-17,0.73,0,0,"Autumn","No Holiday",1101,1548
24,11,2018,436,3.5,82,1.6,1092,0.7,0.51,0,3.6,"Autumn","No Holiday",435,426
25,11,2018,872,9.5,56,1.1,678,1.1,0.54,0,0.8,"Autumn","No Holiday",813,663
26,11,2018,935,13.2,44,1.6,710,1.1,0.76,0,0,"Autumn","No Holiday",1156,1708
27,11,2018,775,12,74,2.1,316,7.5,0.29,0,0,"Autumn","No Holiday",1033,1538
28,11,2018,808,9.6,17,3,1706,-14.3,0.77,0,0,"Autumn","No Holiday",1099,1536
29,11,2018,748,5.8,39,2.6,1489,-7.1,0.1,0,0,"Autumn","No Holiday",996,1577
30,11,2018,837,7.2,23,1.5,1945,-12.6,0.72,0,0,"Autumn","No Holiday",1047,1384
